date,Green,Yellow,Red
1997-02-22,24.0,,
1997-02-23,13.0,1.0,10.0
1997-02-24,,,24.0
1997-02-25,0.8333333333333334,2.5,20.666666666666668
1997-02-26,1.8333333333333333,8.666666666666666,13.5
1997-02-27,3.1666666666666665,2.0,18.833333333333332
1997-02-28,18.166666666666668,2.5,3.3333333333333335
1997-03-01,24.0,,
1997-03-02,24.0,,
1997-03-03,24.0,,
1997-03-04,23.166666666666668,0.8333333333333334,
1997-03-05,21.833333333333332,2.0,0.16666666666666666
1997-03-06,11.333333333333334,7.0,5.666666666666667
1997-03-07,13.333333333333334,6.166666666666667,4.5
1997-03-08,6.166666666666667,5.166666666666667,12.666666666666666
1997-03-09,19.0,3.6666666666666665,1.3333333333333333
1997-03-10,12.0,4.5,7.5
1997-03-11,12.5,0.5,11.0
1997-03-12,22.0,,2.0
1997-03-13,20.0,3.8333333333333335,0.16666666666666666
1997-03-14,24.0,,
1997-03-15,24.0,,
1997-03-16,23.166666666666668,0.3333333333333333,0.5
1997-03-17,3.1666666666666665,1.8333333333333333,19.0
1997-03-18,2.1666666666666665,3.8333333333333335,18.0
1997-03-19,10.666666666666666,8.666666666666666,4.666666666666667
1997-03-20,24.0,,
1997-03-21,24.0,,
1997-03-22,24.0,,
1997-03-23,11.833333333333334,2.6666666666666665,9.5
1997-03-24,7.166666666666667,,16.833333333333332
1997-03-25,20.5,,3.5
1997-03-26,19.333333333333332,3.6666666666666665,1.0
1997-03-27,1.1666666666666667,3.5,19.333333333333332
1997-03-28,13.0,4.166666666666667,6.833333333333333
1997-03-29,22.666666666666668,1.3333333333333333,
1997-03-30,24.0,,
1997-03-31,24.0,,
1997-04-01,20.333333333333332,3.5,0.16666666666666666
1997-04-02,22.833333333333332,,1.1666666666666667
1997-04-03,23.5,,0.5
1997-04-04,24.0,,
1997-04-05,24.0,,
1997-04-06,24.0,,
1997-04-07,24.0,,
1997-04-08,24.0,,
1997-04-09,20.833333333333332,0.16666666666666666,3.0
1997-04-10,22.0,0.6666666666666666,1.3333333333333333
1997-04-11,15.666666666666666,7.833333333333333,0.5
1997-04-12,21.333333333333332,2.6666666666666665,
1997-04-13,23.0,,1.0
1997-04-14,24.0,,
1997-04-15,23.833333333333332,,0.16666666666666666
1997-04-17,22.833333333333332,,0.5
1997-04-18,24.0,,
1997-04-19,24.0,,
1997-04-20,24.0,,
1997-04-21,24.0,,
1997-04-22,24.0,,
1997-04-23,24.0,,
1997-04-24,23.666666666666668,0.3333333333333333,
1997-04-25,8.666666666666666,0.8333333333333334,14.5
1997-04-26,4.5,2.0,17.5
1997-04-27,13.166666666666666,5.166666666666667,5.666666666666667
1997-04-28,21.166666666666668,2.8333333333333335,
1997-04-29,18.833333333333332,5.166666666666667,
1997-04-30,17.333333333333332,6.666666666666667,
1997-05-01,24.0,,
1997-05-02,23.666666666666668,0.3333333333333333,
1997-05-03,23.666666666666668,0.3333333333333333,
1997-05-04,22.666666666666668,0.8333333333333334,0.5
1997-05-05,19.833333333333332,1.1666666666666667,3.0
1997-05-06,16.0,0.8333333333333334,7.166666666666667
1997-05-07,16.0,3.5,4.5
1997-05-08,9.5,0.8333333333333334,13.666666666666666
1997-05-09,16.333333333333332,3.1666666666666665,4.5
1997-05-10,19.5,4.5,
1997-05-11,10.666666666666666,9.833333333333334,3.5
1997-05-12,21.833333333333332,0.3333333333333333,1.8333333333333333
1997-05-13,18.0,1.5,4.5
1997-05-14,14.5,1.0,8.5
1997-05-15,14.833333333333334,0.8333333333333334,8.333333333333334
1997-05-16,16.833333333333332,1.6666666666666667,5.5
1997-05-17,14.166666666666666,4.5,5.333333333333333
1997-05-18,18.833333333333332,2.3333333333333335,2.8333333333333335
1997-05-19,11.833333333333334,7.5,4.666666666666667
1997-05-20,18.0,2.8333333333333335,3.1666666666666665
1997-05-21,1.1666666666666667,10.333333333333334,12.5
1997-05-22,1.1666666666666667,6.166666666666667,16.666666666666668
1997-05-23,,,24.0
1997-05-24,,,24.0
1997-05-25,,3.3333333333333335,20.666666666666668
1997-05-26,3.1666666666666665,10.333333333333334,10.5
1997-05-27,16.333333333333332,7.333333333333333,0.3333333333333333
1997-05-28,24.0,,
1997-05-29,24.0,,
1997-05-30,22.5,0.5,1.0
1997-05-31,21.333333333333332,0.8333333333333334,1.8333333333333333
1997-06-01,20.666666666666668,1.3333333333333333,2.0
1997-06-02,22.0,0.5,1.5
1997-06-03,20.5,3.3333333333333335,0.16666666666666666
1997-06-04,5.5,5.166666666666667,13.333333333333334
1997-06-05,,0.8333333333333334,23.166666666666668
1997-06-06,2.6666666666666665,8.833333333333334,12.5
1997-06-07,17.5,1.3333333333333333,5.166666666666667
1997-06-08,12.0,3.5,8.5
1997-06-09,8.5,3.3333333333333335,12.166666666666666
1997-06-10,,,24.0
1997-06-11,,0.8333333333333334,23.166666666666668
1997-06-12,9.0,6.166666666666667,8.833333333333334
1997-06-13,21.0,1.5,1.5
1997-06-14,24.0,,
1997-06-15,24.0,,
1997-06-16,24.0,,
1997-06-17,19.0,3.5,1.5
1997-06-18,8.166666666666666,4.833333333333333,11.0
1997-06-19,0.16666666666666666,1.8333333333333333,22.0
1997-06-20,1.3333333333333333,0.5,22.166666666666668
1997-06-21,13.166666666666666,2.8333333333333335,8.0
1997-06-22,5.166666666666667,5.833333333333333,13.0
1997-06-23,13.333333333333334,2.6666666666666665,8.0
1997-06-24,16.833333333333332,0.5,6.666666666666667
1997-06-25,17.5,0.6666666666666666,5.833333333333333
1997-06-26,13.833333333333334,1.0,9.166666666666666
1997-06-27,18.833333333333332,,5.166666666666667
1997-06-28,12.166666666666666,3.0,8.833333333333334
1997-06-29,8.0,3.8333333333333335,12.166666666666666
1997-06-30,17.0,3.5,3.5
1997-07-01,21.833333333333332,0.5,1.6666666666666667
1997-07-02,15.5,3.5,5.0
1997-07-03,19.166666666666668,0.16666666666666666,4.666666666666667
1997-07-04,18.333333333333332,1.0,4.666666666666667
1997-07-05,21.5,0.8333333333333334,1.6666666666666667
1997-07-06,15.0,3.5,5.5
1997-07-07,0.16666666666666666,1.1666666666666667,22.666666666666668
1997-07-08,,,24.0
